Date,Open,High,Low,Close,Adj Close,Volume
2023-09-27,145.190002,146.089996,144.509995,145.779999,142.991226,6717800
2023-09-28,146.279999,148.869995,146.009995,147.589996,144.766617,8868100
2023-09-29,148.600006,148.759995,144.860001,145.020004,142.245773,11915700
2023-10-02,144.830002,145.619995,142.630005,143.770004,141.019684,9170600
2023-10-03,143.199997,143.589996,142.350006,142.710007,139.979980,9431100
2023-10-04,143.190002,143.470001,141.929993,143.350006,140.607742,8128700
2023-10-05,142.039993,143.100006,140.830002,142.899994,141.200592,8576200
2023-10-06,142.910004,145.880005,142.139999,145.100006,143.374435,10269400
2023-10-09,143.660004,145.399994,143.500000,144.770004,143.048355,6964900
2023-10-10,145.419998,146.770004,145.279999,145.649994,143.917877,11288800
2023-10-11,146.509995,147.229996,145.020004,146.149994,144.411926,8698200
2023-10-12,146.300003,146.960007,145.130005,145.809998,144.075989,10484400
2023-10-13,148.500000,153.110001,147.839996,148.000000,146.239929,29427000
2023-10-16,149.449997,149.520004,146.720001,147.850006,146.091721,12663500
2023-10-17,147.570007,149.309998,146.789993,147.529999,145.775528,11482700
2023-10-18,146.589996,147.479996,145.369995,145.910004,144.174805,9620300
2023-10-19,145.479996,147.020004,144.880005,145.289993,143.562164,11143600
2023-10-20,144.570007,145.139999,142.119995,142.949997,141.249985,13332000
2023-10-23,142.940002,143.679993,140.729996,141.000000,139.323196,10133400
2023-10-24,141.190002,141.729996,140.360001,141.169998,139.491150,8881400
